ShipName*planet*coord_place*direction*password
LOСА-302*Голевард*70 -52*9 -6*ардOСлоГ
BНВB-560*Угариния*54 -73*-10 -9*нияНВагУ
ЬSТА-367*Жезл Саурона*-35 -13*-7 1*онаSТзеЖ
OADС-556*Шамлария*0 0*-10 4*рияADмаШ
OFYB-294*Золотая Даль*-42 -3*-3 8*альFYлоЗ
ХPВH-805*Жезл Саурона*-89 62*6 -3*онаPВзеЖ
VСЭT-405*Нейландия*74 -5*8 4*дияСЭйеН
НLЙO-968*Наразиния*-5 1*-2 4*нияLЙраН
БUВУ-873*Тальсария*-17 99*-1 1*рияUВлаТ
СНRO-490*Мирондия*-88 60*-8 5*дияНRриМ
TТДI-935*Беренс*80 -83*4 -3*енсТДреБ
НЦUК-690*Фангорн*94 80*-10 5*орнЦUнаФ
КNPE-304*Халасия*-80 -79*1 -8*сияNPлаХ
ЖКDК-209*Ширифповерье*83 84*8 -5*рьеКDриШ
ЭKFБ-921*Наразиния*0 0*1 -6*нияKFраН
CZЭГ-887*Моргариан*-30 53*6 8*ианZЭроМ
ЪTЬП-320*Валинор*-70 -44*-2 -7*норTЬлаВ
TRYС-982*Арда*-59 77*9 9*рдаRYдрА
WПШЗ-61*Шадирия*-81 -8*-1 3*рияПШдаШ
МЭRU-259*Юэгусия*0 0*5 -6*сияЭRгэЮ
BМVО-810*Золотонос*-8 -96*1 1*носМVлоЗ
ЦLМК-937*Абеллио*-19 -26*-5 -2*лиоLМебА
MAFС-471*Лузия*77 -47*1 8*зияAFзуЛ
BAMS-209*Харад*-75 -81*-6 6*радAMраХ
FAОQ-722*Голевард*10 -77*-9 -5*ардAОлоГ
PШКЬ-178*Хилварика*-41 31*-4 -6*икаШКлиХ
ГEYЪ-555*Гординия*99 -43*3 -6*нияEYроГ
ЫVДQ-284*Острудария*-27 79*2 7*рияVДтсО
GRДA-175*Ясмария*-62 38*-6 -3*рияRДмсЯ
ЮЙНЭ-279*Нимасия*32 34*-8 8*сияЙНмиН
ООТГ-929*Цитрамор*0 17*3 -3*морОТтиЦ
BЭSD-149*Чавланшан*-76 -60*0 4*шанЭSваЧ
ЦLРJ-393*Оладария*18 -83*6 8*рияLРалО
VBЬS-701*Яентарин*-59 -26*-4 4*ринBЬнеЯ
YСGV-462*Утопия*0 -20*9 -8*пияСGотУ
CФOЕ-853*Абеллио*-79 -87*-8 9*лиоФOебА
ЗПФБ-132*Идаллия*-87 -10*-9 -5*лияПФадИ
РCUЛ-201*Ширифповерье*2 -52*-6 -4*рьеCUриШ
ZGГЛ-684*Ривенделл*-24 -63*-9 -7*еллGГвиР
AСBN-655*Шамлария*13 -86*-10 -8*рияСBмаШ
ZTЕC-122*Царкония*75 -29*3 9*нияTЕраЦ
РEШZ-584*Голевард*-39 -74*-1 0*ардEШлоГ
ХЫВH-565*Сирмария*14 43*1 -7*рияЫВриС
YJСУ-431*Саурон*31 -100*-6 -3*ронJСуаС
BЛШБ-897*Праметия*-52 -19*0 -1*тияЛШарП
ФMЭE-210*Фарнслетия*-7 75*-7 6*тияMЭраФ
CVЬЗ-730*Дуин*-55 20*9 -1*уинVЬиуД
ЛITD-778*Цитрамор*46 97*-6 -9*морITтиЦ
ДВTТ-686*Праметия*29 11*1 -5*тияВTарП
ИФZШ-969*Едор*-97 -64*-6 -7*дорФZодЕ
KЬKШ-824*Цитрамор*-49 -87*-9 0*морЬKтиЦ
ЯЮOУ-188*Ривенделл*0 -61*-6 3*еллЮOвиР
ЧOАИ-270*Южный кошмар*59 41*0 -6*марOАнжЮ
AZBV-274*Фиринция*-51 54*-8 -7*цияZBриФ
LIJЙ-879*Целиндия*-99 -68*-4 -7*дияIJлеЦ
TGЫH-549*Жимрамир*-57 -34*5 8*мирGЫмиЖ
ГKLS-231*Диасурия*30 82*0 -1*рияKLаиД
ЬSBЮ-217*Уриллион*79 14*-4 -10*ионSBирУ
ЬЯJТ-431*Юхусия*-22 24*0 -8*сияЯJухЮ
ЕХXT-899*Арда*30 14*8 -3*рдаХXдрА
БАЩX-551*Гондор*-39 90*1 6*дорАЩноГ
BЖЛЩ-86*Харад*55 83*-3 -4*радЖЛраХ
JQМЩ-656*Юэгусия*-54 25*9 -9*сияQМгэЮ
ОИVА-767*Яскария*51 75*-8 -3*рияИVксЯ
MEЧУ-99*Зуария*88 -26*-4 -7*рияEЧауЗ
ФWДK-369*Лоркиндария*64 -3*-4 0*рияWДроЛ
МCЩT-272*Услилка*25 61*-3 -2*лкаCЩлсУ
ГВЫН-568*Тол-Арда*90 95*5 -3*рдаВЫлоТ
ГЖPЪ-715*Ярость Горы*60 40*8 -2*орыЖPорЯ
ULMЦ-578*Лоркиндария*-56 -51*-4 -3*рияLMроЛ
ФЦЗF-568*Фангорн*77 -17*2 -7*орнЦЗнаФ
ЭAАЭ-816*Мира*-20 37*-6 -1*ираAАриМ
HNОЮ-871*Утопия*-30 86*0 -9*пияNОотУ
ЭRЗЗ-646*Аглатосия*-5 -8*0 -5*сияRЗлгА
ЗЮГТ-740*Праметия*75 96*7 3*тияЮГарП
СЩВA-750*Ясмария*60 11*0 -4*рияЩВмсЯ
KPЫД-433*Сирмария*-30 -81*-10 -7*рияPЫриС
ЪMPД-305*Парадель*4 -91*-8 -10*ельMPраП
АФKO-611*Царкония*-40 -83*-3 -4*нияФKраЦ
UСXД-311*Харантария*-57 -41*-9 5*рияСXраХ
DXБЗ-272*Мира*-92 79*4 2*ираXБриМ
IZNL-84*Моргариан*-79 93*-2 7*ианZNроМ
ЗGQG-473*Ридайя*36 -81*1 -4*айяGQдиР
VOЪЙ-952*Егана*-83 78*-6 1*анаOЪагЕ
HUРS-181*Есендария*-88 79*2 3*рияUРесЕ
ВTWВ-386*Жимрамир*-91 39*9 6*мирTWмиЖ
XГYE-349*Варитор*-20 -1*6 7*торГYраВ
МCSП-434*Гординия*6 -67*-3 6*нияCSроГ
FЬYЗ-289*Руэндария*-73 -93*8 -6*рияЬYэуР
ЯЮHC-766*Зуария*-49 20*4 -5*рияЮHауЗ
ЛFBX-178*Моргариан*41 -2*-8 -2*ианFBроМ
ТLЕV-336*Сиалония*91 2*-4 5*нияLЕаиС
ЩQЧУ-140*Тибулония*0 0*4 -4*нияQЧбиТ
ЫRWГ-326*Королевство Эребора*-23 43*1 -8*ораRWроК
ЫFНP-80*Ендария*60 -46*-7 -9*рияFНднЕ
ТWТJ-576*Парадель*-13 -15*8 1*ельWТраП
УMAE-221*Парадель*82 -63*5 6*ельMAраП
NKФO-769*Мирфоний*50 -92*-4 -5*нийKФриМ
ЙХJК-208*Идаллия*30 -89*-10 -9*лияХJадИ
ЦАKV-491*Гондор*0 0*5 1*дорАKноГ
